image,scanner,time,low_cve_cnt,med_cve_cnt,high_cve_cnt,crit_cve_cnt,unknown_cve_cnt,tot_cve_cnt,digest
cgr.dev/chainguard/php:latest,trivy,2022-08-28 14:34:00,0,0,0,0,0,0,sha256:714c12ad08115cf6eb6ab92d68d490cf6f7a9495de0424e8fc254fdcfe8e167e
golang:latest,trivy,2022-08-28 14:34:24,257,43,45,12,0,357,sha256:d3f734e1f46ec36da8c1bce67cd48536138085289e24cfc8765f483c401b7d96
nginx:latest,trivy,2022-08-28 14:34:38,89,15,16,4,0,124,sha256:b95a99feebf7797479e0c5eb5ec0bdfa5d9f504bc94da550c2f58e839ea6914f
php:latest,trivy,2022-08-28 14:34:44,243,31,30,4,0,308,sha256:dacfe5971d996c3ddb26374728a7789fabc7c871a87177b2944c3eec5174dfdf
cgr.dev/chainguard/go:latest,trivy,2022-08-27 14:33:27,0,0,0,0,0,0,sha256:d6dd9af65ea9093e305844b0c447e70135cd63f9f713ae4e0833d4a399639db4
cgr.dev/chainguard/nginx:latest,trivy,2022-08-27 14:33:48,0,0,0,0,0,0,sha256:43ac3cc6f530427ea3a750e1554538742a9fe57a924b854b8fbcff11de97527f
cgr.dev/chainguard/php:latest,trivy,2022-08-27 14:33:49,0,0,0,0,0,0,sha256:75cf4e26f012d12252f081aa9857632f6e5f01177a5adc40b86727acaa9ecb43
golang:latest,trivy,2022-08-27 14:34:14,257,43,45,12,0,357,sha256:d3f734e1f46ec36da8c1bce67cd48536138085289e24cfc8765f483c401b7d96
nginx:latest,trivy,2022-08-27 14:34:27,89,15,16,4,0,124,sha256:b95a99feebf7797479e0c5eb5ec0bdfa5d9f504bc94da550c2f58e839ea6914f
php:latest,trivy,2022-08-27 14:34:33,243,31,30,4,0,308,sha256:dacfe5971d996c3ddb26374728a7789fabc7c871a87177b2944c3eec5174dfdf
cgr.dev/chainguard/go:latest,trivy,2022-08-26 14:34:32,0,0,0,0,0,0,sha256:f1d936354ff9997f4634bf9c6bcb88ac80d0b7819bc67fb9d1759d939182dcf5
cgr.dev/chainguard/nginx:latest,trivy,2022-08-26 14:35:00,0,0,0,0,0,0,sha256:4e6846c0670934869612cf282499d51fbcea96635df49fea60f6ecc235392139
cgr.dev/chainguard/php:latest,trivy,2022-08-26 14:35:02,0,0,0,0,0,0,sha256:00cf0f35eb46d09c76c509190e2ce49613df6093b13d2a5928316d6a5d41698d
golang:latest,trivy,2022-08-26 14:35:32,251,40,47,12,0,350,sha256:d3f734e1f46ec36da8c1bce67cd48536138085289e24cfc8765f483c401b7d96
nginx:latest,trivy,2022-08-26 14:35:50,89,13,18,4,0,124,sha256:b95a99feebf7797479e0c5eb5ec0bdfa5d9f504bc94da550c2f58e839ea6914f
php:latest,trivy,2022-08-26 14:36:00,237,28,32,4,0,301,sha256:dacfe5971d996c3ddb26374728a7789fabc7c871a87177b2944c3eec5174dfdf
cgr.dev/chainguard/go:latest,trivy,2022-08-25 14:34:09,0,0,0,0,0,0,sha256:b115a9b3c14c3ea6c960803649d067dcf8e42c5213d1fcde98b7f7a78e5d56f5
cgr.dev/chainguard/nginx:latest,trivy,2022-08-25 14:34:29,0,0,0,0,0,0,sha256:e9f0d3aaa38b5f838c02c986be4588adacc4511cc30eed4368d1217d1c7b04df
cgr.dev/chainguard/php:latest,trivy,2022-08-25 14:34:31,0,0,0,0,0,0,sha256:09fb5bccb738b7fdb9ff5bcfc2bc39aa513d386c0d7c850b69a2c680424cfbb3
golang:latest,trivy,2022-08-25 14:34:55,251,39,46,12,2,350,sha256:d3f734e1f46ec36da8c1bce67cd48536138085289e24cfc8765f483c401b7d96
nginx:latest,trivy,2022-08-25 14:35:07,89,13,18,4,0,124,sha256:b95a99feebf7797479e0c5eb5ec0bdfa5d9f504bc94da550c2f58e839ea6914f
