image,scanner,scanner_version,scanner_db_version,time,low_cve_cnt,med_cve_cnt,high_cve_cnt,crit_cve_cnt,unknown_cve_cnt,tot_cve_cnt,digest
cgr.dev/chainguard/go:latest,trivy,0.32.0,2022-10-14 12:08:43.38534128 +0000 UTC,2022-10-14 14:42:12,0,0,0,0,0,0,sha256:93d0850de1bb7a4313eefd4251eb74f20c421559f26c8817b3663fc734d1153d
cgr.dev/chainguard/nginx:latest,trivy,0.32.0,2022-10-14 12:08:43.38534128 +0000 UTC,2022-10-14 14:42:39,0,0,0,0,0,0,sha256:f45669d78bbc90cc03d430a7276425adb013cb229998e79917c0f5d0c6049110
cgr.dev/chainguard/php:latest,trivy,0.32.0,2022-10-14 12:08:43.38534128 +0000 UTC,2022-10-14 14:42:42,0,0,0,0,0,0,sha256:a002aa8ae729116054224f8ed52e64a58d469d0a11b0c018888fbbfb440a83cf
golang:latest,trivy,0.32.0,2022-10-14 12:08:43.38534128 +0000 UTC,2022-10-14 14:43:03,286,55,55,9,0,405,sha256:25de7b6b28219279a409961158c547aadd0960cf2dcbc533780224afa1157fd4
nginx:latest,trivy,0.32.0,2022-10-14 12:08:43.38534128 +0000 UTC,2022-10-14 14:43:16,93,15,13,1,0,122,sha256:2f770d2fe27bc85f68fd7fe6a63900ef7076bc703022fe81b980377fe3d27b70
php:latest,trivy,0.32.0,2022-10-14 12:08:43.38534128 +0000 UTC,2022-10-14 14:43:23,268,43,36,1,0,348,sha256:326d53dc9e50474c77a60d0ddbefa41f5e048bce4ed30fb9ffcbd0bcb10409e2
cgr.dev/chainguard/go:latest,trivy,0.32.0,,2022-10-13 14:40:19,0,0,0,0,0,0,sha256:fc1019c2dcece77f9e3e2db29d27c38884852e0aeaa52d7a7b4e984f690b9dca
cgr.dev/chainguard/nginx:latest,trivy,0.32.0,,2022-10-13 14:40:55,0,0,0,0,0,0,sha256:1e6a66869d57449f475a8abc2d973aadd4b02b4361927aba1da77099d34092e8
cgr.dev/chainguard/php:latest,trivy,0.32.0,,2022-10-13 14:40:57,0,0,0,0,0,0,sha256:edab523c2263333cca956a3733647064b5be01ad0591aedcb9b7b841eccc805b
golang:latest,trivy,0.32.0,,2022-10-13 14:41:24,286,53,52,9,0,400,sha256:25de7b6b28219279a409961158c547aadd0960cf2dcbc533780224afa1157fd4
